epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1922.39,0.5461,0.60982,0.99906,0.96667,0.66667,0.67562,0.60854,0.39417,1.01632,0.92147,0.000742625,0.000742625,0.000742625
43,1963.93,0.51722,0.5964,0.99029,0.98575,0.66667,0.69348,0.64233,0.42388,0.81165,0.94231,0.00073025,0.00073025,0.00073025
44,2005.81,0.49062,0.53875,0.95992,0.978,0.66667,0.6965,0.65169,0.37821,0.79796,0.93289,0.000717875,0.000717875,0.000717875
45,2047.74,0.48865,0.57086,0.96288,0.9448,0.66667,0.66959,0.63963,0.32392,0.83489,0.89432,0.0007055,0.0007055,0.0007055
46,2090.63,0.54151,0.58105,1.01014,0.98286,0.66667,0.71071,0.67004,0.37916,0.82004,0.91025,0.000693125,0.000693125,0.000693125
47,2133.08,0.48313,0.61576,0.97762,0.99412,0.66667,0.77389,0.71562,0.39014,0.75805,0.91975,0.00068075,0.00068075,0.00068075
48,2175.99,0.48064,0.50239,0.97085,0.99382,0.66667,0.995,0.89941,0.38113,0.68385,0.93333,0.000668375,0.000668375,0.000668375
49,2218.48,0.44739,0.49351,0.94038,0.99234,0.66667,0.77389,0.72955,0.35776,0.71636,0.9349,0.000656,0.000656,0.000656
50,2261.31,0.44873,0.5494,0.98275,0.98748,0.66667,0.70019,0.66433,0.3182,0.76157,0.89339,0.000643625,0.000643625,0.000643625
51,2304.1,0.47216,0.52362,0.9875,0.99047,0.66667,0.6965,0.66532,0.33036,0.83325,0.89021,0.00063125,0.00063125,0.00063125
52,2346.03,0.43972,0.5092,0.95351,0.98743,0.66667,0.77389,0.7229,0.35962,0.78241,0.9022,0.000618875,0.000618875,0.000618875
53,2388.12,0.44936,0.47076,0.98895,0.98618,0.66667,0.995,0.96381,0.33232,0.70151,0.88706,0.0006065,0.0006065,0.0006065
54,2430.53,0.438,0.50124,0.96356,0.98593,0.66667,0.995,0.9058,0.31213,0.68522,0.88602,0.000594125,0.000594125,0.000594125
55,2473.43,0.49663,0.55862,1.02637,0.98655,0.66667,0.6965,0.64111,0.35302,0.72688,0.90313,0.00058175,0.00058175,0.00058175
56,2515.83,0.43416,0.45947,0.93589,0.9896,0.66667,0.68702,0.63057,0.31308,0.69438,0.88228,0.000569375,0.000569375,0.000569375
57,2558.4,0.47476,0.50083,1.01206,0.99222,0.66667,0.68176,0.65598,0.32406,0.70105,0.88418,0.000557,0.000557,0.000557
58,2601.59,0.43177,0.49929,0.97715,0.94505,0.66667,0.70479,0.66735,0.3324,0.83291,0.87624,0.000544625,0.000544625,0.000544625
59,2647.92,0.42745,0.49044,0.94798,0.94378,0.66667,0.82917,0.7698,0.39987,0.81106,0.96991,0.00053225,0.00053225,0.00053225
60,2693.74,0.3898,0.48342,0.92915,0.94399,0.66667,0.995,0.93457,0.40005,0.78902,0.97864,0.000519875,0.000519875,0.000519875
61,2740.48,0.3901,0.45203,0.9341,0.98923,0.66667,0.995,0.93951,0.39734,0.76188,0.95654,0.0005075,0.0005075,0.0005075
62,2788.29,0.40348,0.4305,0.92562,0.98909,0.66667,0.82917,0.79573,0.36686,0.74015,0.91696,0.000495125,0.000495125,0.000495125
63,2837.48,0.46677,0.4439,0.98685,0.98832,0.66667,0.82917,0.78433,0.36233,0.76817,0.89668,0.00048275,0.00048275,0.00048275
64,2889.03,0.42044,0.51941,0.96533,0.98969,0.66667,0.82917,0.77243,0.3436,0.68062,0.89021,0.000470375,0.000470375,0.000470375
65,2935.81,0.38588,0.45324,0.94824,0.98845,0.66667,0.995,0.91766,0.33726,0.62078,0.88528,0.000458,0.000458,0.000458
66,2978.49,0.4043,0.42335,0.93834,0.98627,0.66667,0.995,0.90788,0.37394,0.58854,0.90595,0.000445625,0.000445625,0.000445625
67,3024.23,0.46045,0.63298,1.05809,0.98931,0.66667,0.995,0.90079,0.36227,0.66721,0.91719,0.00043325,0.00043325,0.00043325
68,3073.09,0.40722,0.43953,0.95995,0.96026,0.66211,0.72967,0.67967,0.38743,0.93392,0.91743,0.000420875,0.000420875,0.000420875
69,3120.81,0.38913,0.4008,0.94977,0.95556,0.66232,0.72967,0.6921,0.33769,0.87175,0.88339,0.0004085,0.0004085,0.0004085
70,3167.95,0.50744,0.58081,1.01524,0.99177,0.66667,0.72967,0.69876,0.30295,0.69299,0.88058,0.000396125,0.000396125,0.000396125
71,3213.18,0.37254,0.41971,0.94984,0.98374,0.66667,0.72967,0.69661,0.32671,0.67978,0.89852,0.00038375,0.00038375,0.00038375
72,3256.71,0.3986,0.4379,0.95977,0.98495,0.66667,0.82917,0.7855,0.29032,0.65141,0.89355,0.000371375,0.000371375,0.000371375
73,3299.06,0.36366,0.42301,0.95097,0.98953,0.66667,0.995,0.91819,0.31003,0.617,0.88854,0.000359,0.000359,0.000359
74,3345.42,0.40348,0.42993,0.94212,0.99247,0.66667,0.995,0.93203,0.3112,0.59897,0.88961,0.000346625,0.000346625,0.000346625
